,Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,MSR_Mean,MSR_Std,MSR,IntraTemporal_Homogeneity,InterTemporal_Homogeneity,#Rows_Mean,#Rows_Std,#Cols_Mean,#Cols_Std,#Ctxs_Mean,#Ctxs_Std
0,1,"{'alpha': 0.05, 'delta': 0.05}",562.7308812141418,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
1,2,"{'alpha': 0.05, 'delta': 0.1}",596.9420762062073,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
2,3,"{'alpha': 0.05, 'delta': 0.5}",625.0242373943329,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
3,4,"{'alpha': 0.05, 'delta': 1}",615.4546625614166,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
4,5,"{'alpha': 0.05, 'delta': 1.5}",610.723135471344,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
5,6,"{'alpha': 0.05, 'delta': 2}",835.0786468982698,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
6,7,"{'alpha': 0.1, 'delta': 0.05}",1056.1804850101469,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
7,8,"{'alpha': 0.1, 'delta': 0.1}",603.2907872200012,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
8,9,"{'alpha': 0.1, 'delta': 0.5}",591.5111935138702,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
9,10,"{'alpha': 0.1, 'delta': 1}",911.9689090251924,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
10,11,"{'alpha': 0.1, 'delta': 1.5}",1010.3726904392242,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
11,12,"{'alpha': 0.1, 'delta': 2}",628.1987164020537,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
12,13,"{'alpha': 0.5, 'delta': 0.05}",595.2492206096648,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
13,14,"{'alpha': 0.5, 'delta': 0.1}",635.5871071815492,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
14,15,"{'alpha': 0.5, 'delta': 0.5}",594.0553724765778,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
15,16,"{'alpha': 0.5, 'delta': 1}",634.0969614982605,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
16,17,"{'alpha': 0.5, 'delta': 1.5}",1252.5000877380369,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
17,18,"{'alpha': 0.5, 'delta': 2}",594.0270321369171,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
18,19,"{'alpha': 1, 'delta': 0.05}",758.2302665710449,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}",27337.5,15227.5,2.5,0.5,3.0,1.0
19,20,"{'alpha': 1, 'delta': 0.1}",1605.3594334125519,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}",27337.5,15227.5,2.5,0.5,3.0,1.0
20,21,"{'alpha': 1, 'delta': 0.5}",693.6402487754822,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}",27337.5,15227.5,2.5,0.5,3.0,1.0
21,22,"{'alpha': 1, 'delta': 1}",669.5155138969421,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}",27337.5,15227.5,2.5,0.5,3.0,1.0
22,23,"{'alpha': 1, 'delta': 1.5}",1729.2197616100311,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}",27337.5,15227.5,2.5,0.5,3.0,1.0
23,24,"{'alpha': 1, 'delta': 2}",715.5739943981171,2,0.24,0.02,"{1: 0.26, 2: 0.221}",0.055,0.045,"{1: 0.01, 2: 0.1}","{1: 0.147, 2: 0.213}","{1: 1.0, 2: 0.502}",27337.5,15227.5,2.5,0.5,3.0,1.0
24,25,"{'alpha': 1.5, 'delta': 0.05}",365.07649540901184,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
25,26,"{'alpha': 1.5, 'delta': 0.1}",546.4708666801454,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
26,27,"{'alpha': 1.5, 'delta': 0.5}",343.51039838790894,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
27,28,"{'alpha': 1.5, 'delta': 1}",556.3297407627107,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
28,29,"{'alpha': 1.5, 'delta': 1.5}",1098.817557811737,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
29,30,"{'alpha': 1.5, 'delta': 2}",779.6506109237671,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
30,31,"{'alpha': 2, 'delta': 0.05}",559.3286914825441,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
31,32,"{'alpha': 2, 'delta': 0.1}",314.82960915565485,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
32,33,"{'alpha': 2, 'delta': 0.5}",928.4451251029968,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
33,34,"{'alpha': 2, 'delta': 1}",1191.9418890476227,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
34,35,"{'alpha': 2, 'delta': 1.5}",616.6823325157167,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
35,36,"{'alpha': 2, 'delta': 2}",349.47566056251526,1,1.0,0.0,{1: 1.0},0.03,0.0,{1: 0.03},{1: 0.032},{1: 0.694},54675.0,0.0,3.0,0.0,4.0,0.0
