Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,#Rows_Mean,#Rows_Std,#Cols_Mean,#COls_Std,#Ctxs_Mean,#Ctxs_Std,MSR_Mean,MSR_Std,MSR,Recoverability_Mean,Recoverability_Std,Recoverability,IntraTemporal_Homogeneity,InterTemporal_Homogeneity
1,"{'alpha': 0.05, 'delta': 0.05}",0.9138143062591553,2,0.202,0.182,"{1: 0.384, 2: 0.019}",nan,nan,nan,nan,nan,nan,209374002.79500002,12377286.285000011,"{1: 196996716.51, 2: 221751289.08}",nan,nan,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}"
2,"{'alpha': 0.05, 'delta': 0.1}",0.4985671043395996,2,0.202,0.182,"{1: 0.384, 2: 0.019}",nan,nan,nan,nan,nan,nan,209374002.79500002,12377286.285000011,"{1: 196996716.51, 2: 221751289.08}",nan,nan,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}"
3,"{'alpha': 0.05, 'delta': 0.5}",0.5178470611572266,2,0.202,0.182,"{1: 0.384, 2: 0.019}",nan,nan,nan,nan,nan,nan,209374002.79500002,12377286.285000011,"{1: 196996716.51, 2: 221751289.08}",nan,nan,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}"
4,"{'alpha': 0.05, 'delta': 1}",0.502103328704834,2,0.202,0.182,"{1: 0.384, 2: 0.019}",nan,nan,nan,nan,nan,nan,209374002.79500002,12377286.285000011,"{1: 196996716.51, 2: 221751289.08}",nan,nan,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}"
5,"{'alpha': 0.05, 'delta': 1.5}",0.518303632736206,2,0.202,0.182,"{1: 0.384, 2: 0.019}",nan,nan,nan,nan,nan,nan,209374002.79500002,12377286.285000011,"{1: 196996716.51, 2: 221751289.08}",nan,nan,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}"
6,"{'alpha': 0.05, 'delta': 2}",0.525320291519165,2,0.202,0.182,"{1: 0.384, 2: 0.019}",nan,nan,nan,nan,nan,nan,209374002.79500002,12377286.285000011,"{1: 196996716.51, 2: 221751289.08}",nan,nan,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}"
7,"{'alpha': 0.1, 'delta': 0.05}",0.5132355690002441,2,0.202,0.182,"{1: 0.384, 2: 0.019}",nan,nan,nan,nan,nan,nan,209374002.79500002,12377286.285000011,"{1: 196996716.51, 2: 221751289.08}",nan,nan,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}"
8,"{'alpha': 0.1, 'delta': 0.1}",0.4941568374633789,2,0.202,0.182,"{1: 0.384, 2: 0.019}",nan,nan,nan,nan,nan,nan,209374002.79500002,12377286.285000011,"{1: 196996716.51, 2: 221751289.08}",nan,nan,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}"
9,"{'alpha': 0.1, 'delta': 0.5}",0.5020091533660889,2,0.202,0.182,"{1: 0.384, 2: 0.019}",nan,nan,nan,nan,nan,nan,209374002.79500002,12377286.285000011,"{1: 196996716.51, 2: 221751289.08}",nan,nan,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}"
10,"{'alpha': 0.1, 'delta': 1}",0.5047767162322998,2,0.202,0.182,"{1: 0.384, 2: 0.019}",nan,nan,nan,nan,nan,nan,209374002.79500002,12377286.285000011,"{1: 196996716.51, 2: 221751289.08}",nan,nan,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}"
